`职务,地区,公司名字,薪资,经验,公司类型,公司福利
移动客服,福州·鼓楼区·古田路,福建诺亿信息,4-7K,经验不限中专/中技,电子商务,年终奖，通讯补贴，全勤奖，交通补助
java工程师,福州·鼓楼区·东街口,环行,5-6K·13薪,1-3年大专,移动互联网,节日福利，年终奖，餐补，员工旅游，补充医疗保险，五险一金，通讯补贴，交通补助，加班补助
临床协调员/临床研究护士（CRC）-福州,福州·鼓楼区·古田路,泰格医药,6-8K·14薪,1-3年本科,医疗健康,带薪年假，餐补，年终奖，六险一金，股票期权，交通补助，定期体检，节日福利，补充医疗保险，零食下午茶，通讯补贴，员工旅游
物理老师,福州·鼓楼区·五四路,百来思,6-10K,经验不限本科,培训机构,
美容店长,福州·仓山区·对湖,福建肤璨科技有限公司,6-11K,3-5年学历不限,美容/美发,
短视频文案,福州·鼓楼区·黎明,嘴角向上,4-8K,1年以内本科,文化/体育/娱乐,五险一金，年终奖，定期体检，零食下午茶，带薪年假，员工旅游，节日福利，股票期权
抖音电商运营,福州·鼓楼区·西禅寺,秘觉餐饮,4-8K,1-3年中专/中技,餐饮,节日福利，带薪年假，法定节假日三薪，生日福利，绩效奖金，团建聚餐，年终奖，五险一金，节假日加班费，补充医疗保险，免费工装，加班补助，高温补贴，包吃
tiktok英语讲师,福州·仓山区·红星爱琴海广场,大虎科技,5-10K,经验不限本科,贸易/进出口,全勤奖，股票期权，通讯补贴，员工旅游，带薪年假，加班补助，五险一金
养护管理实习生,福州·仓山区·金山,秀艺,2-3K,经验不限学历不限,工程施工,年终奖，带薪年假，零食下午茶，定期体检，节日福利，餐补，交通补助，通讯补贴，五险一金，补充医疗保险
营销总监,福州·台江区·斗池,1233S2B平台,12-18K,5-10年大专,企业服务,免费食堂，补充医疗保险，定期体检，带薪年假，零食下午茶，节日福利，五险一金
日语客服,福州·仓山区·金山,乐万斯网络,5-10K·13薪,1年以内高中,电子商务,五险一金，加班补助，节日福利，员工旅游，零食下午茶，带薪年假，年终奖，全勤奖
销售代表提成+五险+双休,福州·晋安区·五四北,致然景观设计有限公司,3-5K,经验不限学历不限,建筑设计,五险一金，全勤奖，加班补助，带薪年假
服装设计助理,福州,遇见三月,3-5K,1年以内大专,服装/纺织/皮革,团建聚餐，交通补助，零食下午茶，医保+社保，餐补
装饰预算主管,福州·台江区·台江万达,厦门胜驰,9-14K,5-10年大专,装修装饰,餐补，员工旅游，五险一金，住房补贴，包吃，带薪年假，定期体检，交通补助，全勤奖，节日福利，年终奖
市场营销顾问,福州·台江区·融侨中心,澄迈一龄,5-10K,1-3年学历不限,医疗健康,定期体检，哺乳期带薪休，陪产带薪休，病假带薪，婚产丧带薪休，员工旅游，防暑降温费，五险一金，节日福利，工龄，包住，通讯补贴，带薪年假，全勤奖
小学各学科教师（5000+五险+提供午晚餐）,福州·鼓楼区·津泰路,众格教育,6-8K,1-3年大专,培训机构,包吃，年终奖，加班补助，带薪年假，全勤奖
前端开发工程师,福州·台江区·台江万达,宇信科技,10-15K·13薪,1-3年本科,计算机软件,餐补，定期体检，带薪年假，年终奖，司龄福利假期，五险一金，免费班车，节日福利，补充医疗保险，通讯补贴
信用卡销售,福州·晋安区·岳峰,招商银行信用卡中心,9-14K,经验不限大专,互联网金融,补充医疗保险，带薪年假，交通补助，定期体检，员工旅游，年终奖，五险一金，餐补，节日福利
纹绣师,福州·长乐区·长乐市中心城区,福州市塑颜工匠美...,15-20K,1-3年学历不限,美容/美发,年终奖，五险一金，全勤奖，零食下午茶，加班补助
餐饮运营总监,福州·晋安区·世欧王庄,悦港琴湾,20-40K,10年以上学历不限,生活服务,住房补贴，包吃，带薪年假，节日福利，加班补助，年终奖，全勤奖
区域销售经理,福州·台江区·义洲,华聪药业,5-10K,经验不限学历不限,制药,全勤奖，包吃，五险一金，年终奖
跨境文案专员,福州·仓山区·金山,见苏家居,4-9K,经验不限本科,贸易/进出口,生日福利，团建聚餐，绩效奖金，带薪年假，员工旅游，保底工资，节日福利
剧本杀视频编导,福州·晋安区·岳峰,七元互动,6-8K,1-3年大专,互联网,加班补助，团建聚餐，生日福利，员工团建，有无线网，节日福利，带薪年假，五险一金，零食下午茶，绩效奖金
嵌入式开发工程师,福州·仓山区·金山工业区福湾片,宜美智能科技有限公司,8-13K,3-5年本科,电子/半导体/集成电路,
高薪视频剪辑师+双休+五险一金+年终,福州·仓山区·金山,浩凡网络,6-9K,3-5年大专,移动互联网,通讯补贴，交通补助，年终奖，全勤奖，五险一金，节日福利，员工旅游，带薪年假
招商专员,福州·仓山区·金山,福大自动化,6-8K,经验不限本科,贸易/进出口,加班补助，试用期一对一，年终奖，带薪年假，节日福利
项目经理,福州·仓山区·金山,创达电子有限公司,9-14K·13薪,1-3年大专,计算机软件,全勤奖，年终奖，餐补，五险一金，节日福利，带薪年假
视频剪辑,福州·闽侯县·新西客站,悠悠电商,5-8K,经验不限大专,电子商务,交通补助，学历补贴，年终奖，零食下午茶，五险，住房补贴，带薪年假，员工旅游，全勤奖，节日福利
资深平面设计师,福州·鼓楼区·西湖公园,福旅文博,7-10K,3-5年大专,广告/公关/会展,全勤奖，定期体检，生日礼券，带薪年假，五险一金，年终奖，节日福利
隽荣招聘服务员,福州·仓山区·金山工业区福湾片,隽荣,4-5K,经验不限学历不限,其他服务业,年终奖，五险一金，零食下午茶，节日福利，员工旅游，带薪年假
茶叶带货主播（不加班）,福州·仓山区·金山,三简茶界,10-15K,经验不限学历不限,新零售,带薪年假，节日福利，五险一金，年终奖
日语客服,福州·仓山区·金山,乐万斯网络,5-10K·13薪,1年以内高中,电子商务,五险一金，加班补助，节日福利，员工旅游，零食下午茶，带薪年假，年终奖，全勤奖
装修业务员,福州·闽侯县·新西客站,百年祥业装饰工程,4-9K,1-3年学历不限,工程施工,员工旅游，节日福利，年终奖，五险一金，通讯补贴，全勤奖，带薪年假
前端开发工程师(J12834),福州,博思软件,8-13K·13薪,1-3年本科,计算机软件,节日福利，零食下午茶，带薪年假，通讯补贴，员工俱乐部，员工旅游，五险一金，交通补助，加班补助，定期体检，股票期权，餐补，年终奖
