content,creationTime,score,productColor,productSize
"手机拍摄方面，前置采用新的原深感镜头，1.9um像素，支持自动对焦，即使在低高度环境下 也能实现较快的对焦速度，后置依1日依旧采用1200 万像素广角/超广角双摄配置，全新的1200万像素 主摄像头，传感器更大，单位像素达到1.9um，F/1.5 光圈，传感器位移のIS，低光捕获提高了 49%。夜间模式曝光速度提升两倍。视频新增 运动防抖模式，动态拍摄更加稳定。用了快半月，没有出现起 热，卡顿的现象，对于我不玩游戏的人来说，14挺好的，刚开始买的时候看见评论，各种担心，用了一段时问后感觉很不错，屏幕非常细腻，很好，看上去非 常舒服，比一般手机强多了，音效也很高，听歌很舒适，值得推荐。早买早享受!14拍照真的很好看!比13强太多啦，拍视频也绝绝子!很喜欢紫色!而且电池的使用时间也比之前的机型要棒很多，因为不喜欢灵动岛，所以买了这个标准版，还是这个看起来顺眼。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，午夜色比较清晰靓丽，外形外观，没有多大改变，刘海 有较大的变化，摄像头排布没有变化，运行速度挺快，流畅度也没的说，总体效果，很满意，很喜欢
2 说点儿什么呗~	17	8",2022-12-02 21:20:48,5,暗紫色,512GB
"这个手机用料就是扎实，拿在手上的手感很好
很重，是我喜欢的。iPhone 在使用上绝对没什
么
毛病，系统太流畅了！灵动岛真的好看，比刘
海
好看多了，成功上岛，完美下车，机器很好，
显
示效果很棒，冷屏很赞，开机速度也快，拍照
清
晰．运行速度好外观完美，黑色
一体帅气。包装
完整，总体满意。回来全面检查没有任何问题
然后激活，确实惊艳，好看，使用非常舒服，
反
应灵敏，灵动岛暂时很多 app没有适配，还不
那
么灵动，哈哈，今年的紫色真的好看，不过去
年
的远峰蓝是 YYDS，相机不是提升一点半点，摄
像
头也大了很多，哈哈，很不错。手机到货非常
快
首发当日就拿到了手机，iPhone14proMax手感
非
常好。超喜欢，128的对于我够用了，屏幕完
美，亮度很高，音效也不错，电池很耐用，分
辧
率很棒，120高刷，手握的感觉很舒服，有点
重，能接受，京东自营值得信赖。和上一代没
11",2022-12-11 01:19:13,5,暗紫色,128GB
"＜备忘录
这个手机用料就是扎实，拿在手上的手感很好
很重，是我喜欢的。iPhone 在使用上绝对没什
么
毛病，系统太流畅了！灵动岛真的好看，比刘
海
好看多了，成功上岛，完美下车，机器很好
显
示效果很棒，冷屏很赞，开机速度也快，拍照
清
晰，运行速度好外观完美，黑色
一体帅气。包装
完整，总体满意。回来全面检查没有任何问题，
然后激活，确实惊艳，好看，使用非常舒服，
反
应灵敏，灵动岛暂时很多 app没有适配，还不
那
么灵动，哈哈，今年的紫色真的好看，不过去
年
的远峰蓝是 YYDS，相机不是提升一点半点，摄
像
头也大了很多，哈哈，很不错。手机到货非常
快
首发当日就拿到了手机，iPhone14proMax手感
非
常好。超喜欢，128 的对于我够用了，屏幕完
美，亮度很高，音效也不错，电池很耐用，分
率很棒，120高刷，手握的感觉很舒服，有点
重，能接受，京东自营值得信赖。和上一代没",2022-12-11 01:20:06,5,暗紫色,256GB
"外形外观：从8p升级的，相比较更厚实，握持的手感扎实，个人觉得比8系列的手感好，不容易滑落。不锈钢边框非常漂亮，但容易留指纹&hellip;背板磨砂质感很细腻，舒服。这个紫色挺高级的，雅致不骚气，男人也能用。缺点：好重啊，单手的话手指都觉得累，镜头是凸的越来越离谱了&hellip;
屏幕音效：屏幕手感顺滑，显示效果细腻漂亮，亮度很高，阳光下也很清晰；声音清晰响亮，没想到这么小的听筒声音这么响，而且响铃时会随着你拿起手机调整音量，很人性化。
拍照效果：还没好好试，0.5、1、2、3四个焦段比较全面实用，夜拍效果比以前清晰，对焦快速，4800万像素可以生成较专业的照片文件（需要设置里打开），多些可玩性。而且依然是苹果风格的简单易用。
运行速度：很流畅，苹果一向如此，我原来的8p用了4年依然顺畅。
待机时间：正常使用一天没问题。
其他特色：iOS安全、稳定、简单易用，不用费心研究，灵动岛挺有趣的，动画效果也很漂亮。入了果子的生态就不容易出来了&hellip;就是贵，还不好抢",2022-09-28 23:41:56,5,暗紫色,256GB
"这个手机用料是孔头，拿仕手上的手感
很好很重，是我喜欢的。 iPhone 在使用
上绝对没什么毛病，系统太流畅了！灵
动岛真的好看，比刘海好看多了，成功
上岛，完美下车，机器很好，显示效果
很棒，冷屏很赞，开机速度也快，拍照清
晰．运行速度好外观完美，黑色一体帅
气。包装完整，总体满意。回来全面检查
没有任何问题然后激活，确实惊艳，好
看，使用非常舒服，反应灵敏，灵动岛暂
时很多 app 没有适配，还不那么灵动，哈
哈，今年的紫色真的好看，不过去年的远
峰蓝是 YYDS ，相机不是提升一点半点，
摄像头也大了很多，哈哈，很不错。手
机到货非常快首发当日就拿到了手机，
iPhone14proMax手感非常好。超喜欢
口
128的对于我够用了，屏幕完美，亮度．高，音效不中耐用分辨率很棒，12回提取图中文字 x 有点重，能接又，示小口白口。和上一1",2022-12-16 11:55:20,5,银色,256GB
"色也很有高级感。摄像头升级明显，镜头比上上
- 代更大了，整机手感依然非常好
屏幕音效：苹果手机屏幕是手机屏幕里显示效果
最好的。这次屏幕户外强光下屏幕峰值亮度提高
到了 2000尼特。这个峰值亮度即使在非第强的阳
光下使用，也能看的非常清楚。音质比上一代也
有明显提升，声音洪亮立体声效果好。
拍照效果：拍照也是苹果的强项，摄像头首次升
级到 4800万像素，更大的光圈。A16仿生芯片的
加持。夜间拍照相比上一代噪点更少，拍出来的
照片更清晰细节更丰富。白天拍照拍视频提升明
显，已经接近专业相机的水准了。
运行速度：A16芯片领先友商 3-5年。无论玩大型
游戏，还是平时使用都非常丝滑流畅，系统升级
几代都没有卡顿现家。
待机时间：虽然电池容量没有增加，得益于 A16
芯片加持功耗更低。中度使用一整天，一天-
充。重度使用8小时左右
其他特色：ios系统依然是手机系统最好用的，
没有广告安全可靠 U设计看着舒服，iOS16首次
加入了自定义锁屏，可以根据自己喜好",2022-12-11 07:42:33,5,银色,128GB
"外形外观：一如既往的好看，高端大气上档次
屏幕音效：很好看，很清晰
拍照效果：很漂亮，夜景也好看
运行速度：很快，速度流畅
待机时间：很长，比以前的有改善",2022-10-31 17:10:49,5,银色,256GB
"外形延续前两代直角不锈钢边框设计，新的暗紫色也很有高级感。摄像头升级明显，镜头比上上一代更大了，整机手感依然非常好。
屏幕音效：苹果手机屏幕是手机屏幕里显示效果最好的。这次屏幕户外强光下屏幕峰值亮度提高到了2000尼特。这个峰值亮度即使在非常强的阳光下使用，也能看的非常清楚。音质比上一代也有明显提升，声音洪亮立体声效果好。
拍照效果：拍照也是苹果的强项，摄像头首次升级到4800万像素，更大的光圈。A16仿生芯片的加持。夜间拍照相比上一代噪点更少，拍出来的照片更清晰细节更丰富。白天拍照拍视频提升明显，已经接近专业相机的水准了。
运行速度：A16芯片领先友商3-5年。无论玩大型游戏，还是平时使用都非常丝滑流畅，系统升级几代都没有卡顿现象。
待机时间：虽然电池容量没有增加，得益于A16芯片加持功耗更低。中度使用一整天，一天一充。重度使用8小时左右
其他特色： iOS 系统依然是手机系统最好用的，没有广告安全可靠 UI 设计看着舒服，iOS16首次加入了自定义锁屏，可以根据自己喜好",2022-10-24 22:37:44,5,暗紫色,256GB
"外形外观：暗紫色很大气，男女都合适
屏幕音效：音效好，屏幕可随房间光度自动调整
拍照效果：拍照效果真实，特别适合拍远景
运行速度：开机速度快
待机时间：长时间待机，续航时间长
其他特色：看视频可以调五倍速，游戏不卡顿，移动网络一般",2022-11-30 19:43:08,5,暗紫色,256GB
"外形外观：金色很漂亮，手感很好，看起来就贵气
屏幕音效：屏幕清晰，质量有保障，京东值得信赖
拍照效果：拍照效果很好，像素高，很清晰
运行速度：运行速度快，待机时间长，很不错",2022-12-17 17:53:53,5,金色,128GB
