user,time,score,content
上东城97,2022-06-26 23:51,5,龟峰风景名胜区很像，我一定会再去看！
danxingge,2022-06-23 21:15,5,丹霞地貌，两个小时左右游玩。
gudequ,2022-06-21 07:19,5,龟峰位于江西省弋阳县境内，风景怡人
elsashen0529,2022-06-16 17:55,5,今天驱车四十多公里来到上饶市弋阳县境内的“世界自然遗产”、国家级地质公园龟峰（亦称圭峰）一游。与附近的以花岗岩为主体的灵山不同，这里是典型的丹霞地貌，数十座铁钙质混合胶结的红色砂砾岩山体构成了龟峰景区奇异的景观。这里“无山不龟，无石不龟”，且数座山体都像一只硕大无比的昂首巨龟，龟峰由此而得名。这里每座山高度并不高，主峰才高三百多米，但大热天沿陡峭的栈道在几座山之间上上下下着实锻炼脚力，不过得知徐霞客游完浙江雁荡山来到这里说了一句“盖龟峰峦嶂之奇，雁荡所无。”便也觉不虚此行。
法漾漾,2022-05-29 23:49,5,很不错的地方，希望疫情过去后能再去看看。
Annie- Sally,2022-05-27 20:28,5,这里的风景环境非常不错呢…………
139****9779,2022-05-18 08:45,5,"【景色】
【趣味】
【性价比】好去处，喜欢旅游的小伙伴们快来加入吧"
09****775,2022-05-14 23:51,5,龟峰发育于距今1.35亿年的白垩纪晚期，是雨水侵蚀型老年期丹霞峰林地貌的典型代表。地貌形态以峰林、陡崖、方山、石墙、石柱、石峰为特征，崖壁两侧雨水侵蚀型纵向线性沟槽发育，岩溶弱；微地貌景观及其景观组合以珍稀的丹霞造型石峰、石柱等为特色，保存有壮年期丹霞地貌的遗迹。
M36****815,2022-05-05 19:36,5,龟峰，又称圭峰，是世界地质公园龙虎山—龟峰地质公园和世界自然遗产“中国丹霞”的组成部分
冰是凝固了的水,2022-04-20 15:00,5,这里还是可以去下的，我是16年去过一次
木木陌陌,2022-04-18 17:28,5,龟峰风景名胜区位于江西省上饶市横峰县境内，独特的岩石地貌，栩栩如生的景象，值得打卡。
M16****216,2022-04-03 23:08,5,这里很值得一去，风景优美，大自然最美丽的风景…………
酷到票的姑娘,2022-04-01 21:05,5,"栩栩如生
景色宜人
环境、服务很好👍"
danxingge,2022-03-26 23:14,5,属于丹霞地貌，山不是很高，还行。
上东城97,2022-03-24 17:20,5,龟峰风景名胜区好啊，我一定会再去看！
hpzhyj,2022-03-19 22:05,4,的确是挺漂亮的，很有意境，挺不错的
M49****100,2022-02-10 17:45,5,旅行愉快，整体不错
