id,评分,评论,时间
听足音,5分 超棒,九寨沟，位于位于四川省西北部岷山山脉南段的阿坝藏族羌族自治州九寨沟县漳扎镇境内，距离成都市4四百多公里，是长江支流嘉陵江的上游白水江源头的一条大支沟，总面积65074.7公顷，是国家级自然保护区和国家AAAAA级景区，素有“九寨归来不看水”的美誉，名不虚传！,2022-06-03
夏吹夏夜风,5分 超棒,九寨沟怎么玩？ 巍峨的高山，蓝悠的天空，碧绿的海子。九寨沟的美，让世界惊艳和震撼；九寨沟的水，让人如痴又如醉。虽然经历了4年前的7级特大地震，但现在“补妆”后的九寨，已经以女王回归的姿态，重新向世人展示她的美丽。 九寨沟因山谷内分布着荷叶、树正、则渣洼等9个藏族村寨而得名。以翠海、叠瀑、彩林、雪峰、藏情、蓝冰“六绝”著称于世。 九寨沟景区面积达720平方公里，主沟长50多公里，呈Y字形，“Y”的下枝干是树正沟景点，树正沟沟口正是景区入口；“Y”的左右两枝分别是则查洼沟景点、日则沟景点。九寨沟主要的景点都分布在这三个沟中。 第1站｜树正寨/树正沟（Y的下枝） 这里是九寨沟的入口，进出都要经过树正沟。从沟口起到诺日朗瀑布，全长约14km，共有各种湖泊（海子）40余个，约占九寨沟景区全部湖泊的40%。 树正寨是九寨沟九个藏族寨子中最大、最繁华的一个。在树正寨下车后可以沿着栈道一路游览树正群海、树正瀑布、老虎海、犀牛海，之后由犀牛海返回老虎海。 第2站｜则查洼沟（Y的左枝） 沿着栈道步行至观光车站点乘车前往则查洼沟长海（中途会经过诺日朗瀑布这个景点可以等下午回程的时候再参观）。 长海是九寨沟最大的海子，参观完长海再乘车前往五彩池，五彩池是九寨沟最小但颜色最丰富的海子。 第3站｜诺日朗服务中心（Y的中间点） 参观完五彩池差不多到了午饭时间，这时候可以乘车返回诺日朗服务中心站用餐。这里有卖套餐和泡面可自行选择，价格也不算贵。 第4站｜日则沟景点（Y的右枝） 由诺日朗中心乘车抵达，这里是景点最密集最美的一条线。这里的景点是九寨沟风光中上镜率最高的，珍珠滩、五花海、熊猫海、孔雀海等，好似童话世界！景点密集，变化多端，让人流连忘返！ 珍珠滩瀑布气势非凡、雄伟壮观，是86版《西游记》片头中，唐僧师徒牵马涉水的地方。 第5站｜树正寨/树正沟（Y的下枝） 乘车前往镜海，镜海素以水面平静著称，在这里你会看到“鱼在云中游，鸟在水中飞”的奇景。 第6站｜诺日朗瀑布（Y的中间点） 游览完镜海便乘车前往诺日朗瀑布，诺日朗瀑布是钙华瀑布，也是中国最宽的瀑布，虽然在2017的地震中发生垮塌，但修复之后依然壮观。 第7站｜树正寨/树正沟（Y的下枝） 之后乘车返程，在荷叶寨下车，沿着栈道游览芦苇海，一路步行至盆景滩。最后一站可以去扎如沟景点参观扎如寺。,2022-06-20
陌上花开,5分 超棒,九寨沟一直是我梦想中的旅游圣地。如愿以偿的感觉真的太爽了。水是九寨沟的灵魂，是水把九寨沟渲染装扮的如此美丽。清澈透明的湖水，气势磅礴的瀑布已经深深印在我的脑海里了。太赞了。,2022-05-30
弄玉,5分 超棒,飞湍瀑流争喧豗，砯崖转石万壑雷。火花海到诺日朗瀑布绝对值得徒步！不舍得离开的一趟旅行。 开阔的海子，喧嚣的瀑布，让人心旷神怡，忘却烦恼。 绝对值得一去，不虚此行！,2022-06-08
是诗歌远方,5分 超棒,2021-12-28 领略过新疆乌鲁木齐天山美，就像是诗人李白所形容的“明月出天山，苍茫云海间”。 在今日，领略到了“金秋访九寨，红叶胜花开。碧海泛五彩，风雪舞剑岩。四顾皆仙界，一步一徘徊。挥手暂相别，相约又重来。”中的“碧海泛五彩，风雪舞剑岩。”九寨沟的冬天，不再是火热满怀，冬季尤为宁静充满诗情画意，银装素裹、玉树冰花的风景，把人带入冰雪奇缘般的童话世界，让人流连忘返。 再次感叹大自然的神奇，在大自然中，感受着冰雪温情。 期待着“金秋访九寨，红叶胜花开。”,2022-05-13
陌上花开,5分 超棒,都说水是九寨沟的灵魂，到底九寨沟的水有多么美？去年到九寨沟游玩的时候，珍珠滩水量充沛，声势浩大。她有许多海子，颜色五彩斑斓，非常漂亮。九寨沟真的名不虚传。,2022-06-27
M25****7236,5分 超棒,值得一看 【景色】景色很美，人间仙境。 【性价比】门票费似乎有点高 【趣味】天然氧吧，天然景色。 这里简直就是人间仙境，自然景色令人陶醉，不同的绿色水潭，但又清澈见底。值得一看👀,2022-06-06
小紫扎西德勒,5分 超棒,神奇的九寨，人间的天堂！此生一来要看一次的绝世美景👍🏻真的无法来形容它的美，太太震撼人心了，人生中第一次看到这么美丽动人的水景！大自然的调色盘，人间仙境👍🏻,2022-06-22
_WeCh****00473,4分 满意,我们是4天三晚九寨沟黄龙游，6月23去的，人不是很多，观光车可以坐着上；早上有点凉，需要穿个外套(毛衣，牛仔外套都行)，中午就很热，(带好防晒物品哦)，九寨沟的水很清澈，早上先从最高处往下游玩，我们没有去原始森林，在熊猫海下的车，中午在珍珠滩瀑布那休息的，瀑布很壮观，像白色的珍珠粒，下午游玩了五色池，火花海，芦苇海…都很漂亮，沿着树正瀑布往下走的感觉很好(个人喜欢)；夏季时整个景区是碧绿的，下午5点多出的景区,2022-06-27
迪肯孔裴矩,5分 超棒,"景区排队买票坐车上去。路途会看到各形各异的海子，颜色也不同，在阳光下特别好看，每一个都有无法用语言形容的魅力，有熊猫海，还有最长的长海，五彩池，每一个随便一拍都是大片，沿着栈道可以一-直走，就是比较拥挤，很庆幸我们去的时候天气很好,也算是欣赏到了她的美。景区外面有很多名宿，还有-个小县城，你可以去看演出，九寨千古情，慢慢的品尝这里的一切，你会觉得时光缓缓，真的是岁月静好。总之，强烈推荐的景区，绝对不会失望，想去的可以提前做一.下攻略，因为地震过后，他接待的时间有了变化。",2022-06-03
成诚装饰,5分 超棒,九寨沟，黄龙，都是我大四川的美景真的很棒，我更加喜欢黄龙，走黄龙特别废腿，走到雪茫茫的美拍拍照片很惬意，五彩城的水也是绝了，五彩斑斓，不过遗憾的是有几个景点现在游玩没有看水，各人觉得还是值得去玩玩，建议游玩的朋友提前准备好高原装备，,2022-05-04
IvanFC,5分 超棒,动植物资源丰富，具有较高的生态保护、科学研究和美学旅游价值。九寨沟是以地质遗迹钙化湖泊、滩流、瀑布景观、岩溶水系统和森林生态系统为主要保护对象的国家地质公园，具有较高的科研价值。,2022-06-03
壹栀,5分 超棒,“九寨归来不看水”，是对九寨沟景色真实的诠释。泉、瀑、河、滩108个海子，构成一个个五彩斑斓的瑶池玉盆。长海、剑岩、诺日朗、树正、扎如、黑海六大景观，呈“Y”字形分布。翠海、叠瀑、彩林、雪峰、藏情、蓝冰，被称为“六绝”。神奇的九寨，被世人誉为“童话世界”，号称“水景之王”。,2022-06-26
壹栀,5分 超棒,“九寨归来不看水”，是对九寨沟景色真实的诠释。泉、瀑、河、滩108个海子，构成一个个五彩斑斓的瑶池玉盆。长海、剑岩、诺日朗、树正、扎如、黑海六大景观，呈“Y”字形分布。翠海、叠瀑、彩林、雪峰、藏情、蓝冰，被称为“六绝”。神奇的九寨，被世人誉为“童话世界”，号称“水景之王”。,2022-06-26
壹栀,5分 超棒,“九寨归来不看水”，是对九寨沟景色真实的诠释。泉、瀑、河、滩108个海子，构成一个个五彩斑斓的瑶池玉盆。长海、剑岩、诺日朗、树正、扎如、黑海六大景观，呈“Y”字形分布。翠海、叠瀑、彩林、雪峰、藏情、蓝冰，被称为“六绝”。神奇的九寨，被世人誉为“童话世界”，号称“水景之王”。,2022-06-26
壹栀,5分 超棒,“九寨归来不看水”，是对九寨沟景色真实的诠释。泉、瀑、河、滩108个海子，构成一个个五彩斑斓的瑶池玉盆。长海、剑岩、诺日朗、树正、扎如、黑海六大景观，呈“Y”字形分布。翠海、叠瀑、彩林、雪峰、藏情、蓝冰，被称为“六绝”。神奇的九寨，被世人誉为“童话世界”，号称“水景之王”。,2022-06-26
壹栀,5分 超棒,超美！“九寨归来不看水”，是对九寨沟景色真实的诠释。泉、瀑、河、滩108个海子，构成一个个五彩斑斓的瑶池玉盆。长海、剑岩、诺日朗、树正、扎如、黑海六大景观，呈“Y”字形分布。翠海、叠瀑、彩林、雪峰、藏情、蓝冰，被称为“六绝”。神奇的九寨，被世人誉为“童话世界”，号称“水景之王”。,2022-06-26
