area,curConfirm,curConfirmRelative,confirmed,crued,died
西藏,0,0,1,1,0
澳门,24,9,107,83,0
青海,0,0,147,147,0
台湾,3419886,52047,3439279,13742,5651
香港,262714,196,335510,63399,9397
贵州,0,0,185,183,2
吉林,0,0,40295,40290,5
新疆,0,0,1008,1005,3
宁夏,0,0,122,122,0
内蒙古,168,-19,2082,1913,1
甘肃,0,0,681,679,2
天津,12,-1,1993,1978,3
山西,1,0,423,422,0
辽宁,18,-2,1718,1698,2
黑龙江,1,0,2987,2973,13
海南,0,0,288,282,6
河北,2,0,2007,1998,7
陕西,18,0,3318,3297,3
云南,6,-2,2164,2156,2
广西,2,0,1649,1645,2
福建,51,-4,3395,3343,1
上海,136,7,63214,62483,595
北京,157,-35,3664,3498,9
江苏,4,0,2239,2235,0
四川,10,-3,2364,2351,3
山东,12,0,2748,2729,7
江西,1,0,1384,1382,1
重庆,9,3,725,710,6
安徽,0,0,1065,1059,6
湖南,6,0,1400,1390,4
河南,0,0,3183,3161,22
广东,69,10,7397,7320,8
浙江,17,0,3150,3132,1
湖北,2,0,68401,63887,4512
